data_dt,listing_id,user_id,days_available,days_booked,occupancy_rate,room_type,neighborhood,listing_created_date,host_since,host_is_superhost
2025-04-01,L1009,U204,24,9,0.38,Entire home/apt,Suburb,2024-09-02,2019-10-15,True
2025-04-01,L1010,U209,28,6,0.21,Shared room,Old Town,2023-07-24,2018-01-04,False
2025-04-01,L1011,U201,20,7,0.35,Shared room,Old Town,2024-01-20,2024-01-16,False
2025-04-01,L1012,U207,27,15,0.56,Shared room,Suburb,2025-02-16,2020-05-16,False
2025-04-01,L1013,U208,25,6,0.24,Private room,Beachfront,2023-07-18,2020-02-17,False
2025-04-01,L1014,U207,27,4,0.15,Private room,Suburb,2025-01-28,2020-05-16,False
2025-04-01,L1015,U209,21,19,0.9,Shared room,Suburb,2023-01-21,2018-01-04,False
2025-04-01,L1016,U209,27,13,0.48,Shared room,Old Town,2023-05-19,2018-01-04,False
2025-04-01,L1017,U207,29,5,0.17,Private room,Beachfront,2024-04-20,2020-05-16,False
2025-04-01,L1018,U201,23,13,0.57,Private room,Beachfront,2024-12-12,2024-01-16,False
2025-04-01,L1019,U205,26,15,0.58,Entire home/apt,Old Town,2023-08-15,2024-04-17,False
2025-05-01,L1000,U204,22,8,0.36,Private room,Suburb,2023-08-30,2019-10-15,True
2025-05-01,L1001,U208,26,25,0.96,Private room,Downtown,2023-07-01,2020-02-17,False
2025-05-01,L1002,U204,27,18,0.67,Private room,Downtown,2024-12-08,2019-10-15,True
2025-05-01,L1003,U203,27,18,0.67,Shared room,Suburb,2023-02-12,2023-12-28,False
2025-05-01,L1004,U208,25,8,0.32,Private room,Beachfront,2024-12-24,2020-02-17,False
2025-05-01,L1005,U201,30,1,0.03,Private room,Old Town,2022-10-23,2024-01-16,False
2025-05-01,L1006,U209,27,6,0.22,Shared room,Beachfront,2023-04-06,2018-01-04,False
2025-05-01,L1007,U208,24,8,0.33,Private room,Downtown,2023-11-08,2020-02-17,False
2025-05-01,L1008,U206,24,18,0.75,Private room,Suburb,2023-09-02,2018-05-08,True
2025-05-01,L1009,U206,21,2,0.1,Entire home/apt,Suburb,2024-09-02,2018-05-08,True
2025-05-01,L1010,U208,24,6,0.25,Shared room,Old Town,2023-07-24,2020-02-17,False
2025-05-01,L1011,U202,29,27,0.93,Shared room,Old Town,2024-01-20,2024-01-21,False
2025-05-01,L1012,U207,23,8,0.35,Shared room,Suburb,2025-02-16,2020-05-16,False
2025-05-01,L1013,U207,25,5,0.2,Private room,Beachfront,2023-07-18,2020-05-16,False
2025-05-01,L1014,U209,23,7,0.3,Private room,Suburb,2025-01-28,2018-01-04,False
2025-05-01,L1015,U200,25,5,0.2,Shared room,Suburb,2023-01-21,2024-01-30,False
2025-05-01,L1016,U203,28,3,0.11,Shared room,Old Town,2023-05-19,2023-12-28,False
2025-05-01,L1017,U200,23,1,0.04,Private room,Beachfront,2024-04-20,2024-01-30,False
2025-05-01,L1018,U203,24,6,0.25,Private room,Beachfront,2024-12-12,2023-12-28,False
2025-05-01,L1019,U209,20,19,0.95,Entire home/apt,Old Town,2023-08-15,2018-01-04,False
2025-06-01,L1000,U204,28,14,0.5,Private room,Suburb,2023-08-30,2019-10-15,True
2025-06-01,L1001,U205,24,18,0.75,Private room,Downtown,2023-07-01,2024-04-17,False
2025-06-01,L1002,U202,21,3,0.14,Private room,Downtown,2024-12-08,2024-01-21,False
2025-06-01,L1003,U206,22,0,0.0,Shared room,Suburb,2023-02-12,2018-05-08,True
2025-06-01,L1004,U206,20,7,0.35,Private room,Beachfront,2024-12-24,2018-05-08,True
2025-06-01,L1005,U208,20,1,0.05,Private room,Old Town,2022-10-23,2020-02-17,False
2025-06-01,L1006,U201,25,13,0.52,Shared room,Beachfront,2023-04-06,2024-01-16,False
2025-06-01,L1007,U209,28,12,0.43,Private room,Downtown,2023-11-08,2018-01-04,False
2025-06-01,L1008,U200,20,5,0.25,Private room,Suburb,2023-09-02,2024-01-30,False
2025-06-01,L1009,U201,22,7,0.32,Entire home/apt,Suburb,2024-09-02,2024-01-16,False
2025-06-01,L1010,U206,20,16,0.8,Shared room,Old Town,2023-07-24,2018-05-08,True
2025-06-01,L1011,U205,20,18,0.9,Shared room,Old Town,2024-01-20,2024-04-17,False
2025-06-01,L1012,U208,22,2,0.09,Shared room,Suburb,2025-02-16,2020-02-17,False
2025-06-01,L1013,U208,22,9,0.41,Private room,Beachfront,2023-07-18,2020-02-17,False
2025-06-01,L1014,U208,29,17,0.59,Private room,Suburb,2025-01-28,2020-02-17,False
2025-06-01,L1015,U207,21,0,0.0,Shared room,Suburb,2023-01-21,2020-05-16,False
2025-06-01,L1016,U203,24,23,0.96,Shared room,Old Town,2023-05-19,2023-12-28,False
2025-06-01,L1017,U205,20,1,0.05,Private room,Beachfront,2024-04-20,2024-04-17,False
2025-06-01,L1018,U208,24,1,0.04,Private room,Beachfront,2024-12-12,2020-02-17,False
2025-06-01,L1019,U204,25,9,0.36,Entire home/apt,Old Town,2023-08-15,2019-10-15,True
2025-07-01,L1000,U205,23,17,0.74,Private room,Suburb,2023-08-30,2024-04-17,False
2025-07-01,L1001,U203,27,25,0.93,Private room,Downtown,2023-07-01,2023-12-28,False
2025-07-01,L1002,U206,25,23,0.92,Private room,Downtown,2024-12-08,2018-05-08,True
2025-07-01,L1003,U204,23,9,0.39,Shared room,Suburb,2023-02-12,2019-10-15,True
2025-07-01,L1004,U207,29,23,0.79,Private room,Beachfront,2024-12-24,2020-05-16,False
2025-07-01,L1005,U209,29,18,0.62,Private room,Old Town,2022-10-23,2018-01-04,False
2025-07-01,L1006,U202,24,5,0.21,Shared room,Beachfront,2023-04-06,2024-01-21,False
2025-07-01,L1007,U201,23,0,0.0,Private room,Downtown,2023-11-08,2024-01-16,False
2025-07-01,L1008,U201,20,15,0.75,Private room,Suburb,2023-09-02,2024-01-16,False
2025-07-01,L1009,U207,24,21,0.88,Entire home/apt,Suburb,2024-09-02,2020-05-16,False
2025-07-01,L1010,U209,29,8,0.28,Shared room,Old Town,2023-07-24,2018-01-04,False
2025-07-01,L1011,U204,28,5,0.18,Shared room,Old Town,2024-01-20,2019-10-15,True
2025-07-01,L1012,U205,28,7,0.25,Shared room,Suburb,2025-02-16,2024-04-17,False
2025-07-01,L1013,U203,27,8,0.3,Private room,Beachfront,2023-07-18,2023-12-28,False
2025-07-01,L1014,U209,26,11,0.42,Private room,Suburb,2025-01-28,2018-01-04,False
2025-07-01,L1015,U209,25,17,0.68,Shared room,Suburb,2023-01-21,2018-01-04,False
2025-07-01,L1016,U201,25,15,0.6,Shared room,Old Town,2023-05-19,2024-01-16,False
2025-07-01,L1017,U203,29,19,0.66,Private room,Beachfront,2024-04-20,2023-12-28,False
2025-07-01,L1018,U200,28,7,0.25,Private room,Beachfront,2024-12-12,2024-01-30,False
2025-07-01,L1019,U200,20,0,0.0,Entire home/apt,Old Town,2023-08-15,2024-01-30,False
